dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.9,0.05,0.2327269971370696,0.9793299436569214,False,controller,,,,,,False,,,,,,54.0,155.0,0.8119999766349792,0.8180000185966492,92373.0,54.08598208427429
cora,1,8,attention,0.1,0.9,0.05,0.560382782220841,0.9287595152854919,False,controller,,,,,,False,,,,,,180.0,200.0,0.7860000133514404,0.8050000071525574,92373.0,84.31030106544495
cora,2,8,attention,0.1,0.9,0.05,0.21352485537528978,0.9800482988357544,False,controller,,,,,,False,,,,,,48.0,149.0,0.8159999847412109,0.8230000138282776,92373.0,74.14389085769653
cora,3,8,attention,0.1,0.9,0.05,0.4669219577312466,0.9473088979721069,False,controller,,,,,,False,,,,,,137.0,200.0,0.7960000038146973,0.800000011920929,92373.0,74.05884408950806
cora,4,8,attention,0.1,0.9,0.05,0.10753552734851834,0.9812900424003601,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8119999766349792,92373.0,44.428611278533936
cora,5,8,attention,0.1,0.9,0.05,0.1960886126756667,0.9755029678344727,False,controller,,,,,,False,,,,,,46.0,147.0,0.8040000200271606,0.8149999976158142,92373.0,59.54857063293457
cora,6,8,attention,0.1,0.9,0.05,0.09642190814018248,0.9870787858963013,False,controller,,,,,,False,,,,,,20.0,121.0,0.7940000295639038,0.8209999799728394,92373.0,69.45021295547485
cora,7,8,attention,0.1,0.9,0.05,0.16229535579681392,0.9768794178962708,False,controller,,,,,,False,,,,,,37.0,138.0,0.7739999890327454,0.7710000276565552,92373.0,52.664135456085205
cora,8,8,attention,0.1,0.9,0.05,0.11356289267539978,0.9762641787528992,False,controller,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8109999895095825,92373.0,44.67155051231384
cora,9,8,attention,0.1,0.9,0.05,0.1757752674818039,0.9776787161827087,False,controller,,,,,,False,,,,,,40.0,141.0,0.8100000023841858,0.828000009059906,92373.0,38.249683141708374
