dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.5,0.01,0.26650677859783173,0.9790363311767578,False,controller,,,,,,False,,,,,,54.0,155.0,0.8119999766349792,0.8169999718666077,92373.0,31.8407986164093
cora,1,8,attention,0.1,0.5,0.01,0.8328379368782043,0.8912874460220337,False,controller,,,,,,False,,,,,,182.0,200.0,0.7900000214576721,0.8029999732971191,92373.0,49.73121190071106
cora,2,8,attention,0.1,0.5,0.01,0.23868884742259983,0.979892909526825,False,controller,,,,,,False,,,,,,48.0,149.0,0.8159999847412109,0.824999988079071,92373.0,40.039874792099
cora,3,8,attention,0.1,0.5,0.01,0.641543570160866,0.9331349730491638,False,controller,,,,,,False,,,,,,137.0,200.0,0.7960000038146973,0.8019999861717224,92373.0,55.71212911605835
cora,4,8,attention,0.1,0.5,0.01,0.11750612914562228,0.9812702536582947,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8119999766349792,92373.0,54.252727031707764
cora,5,8,attention,0.1,0.5,0.01,0.22719163775444035,0.9752591252326965,False,controller,,,,,,False,,,,,,46.0,147.0,0.8040000200271606,0.8149999976158142,92373.0,57.76928687095642
cora,6,8,attention,0.1,0.5,0.01,0.09840754568576812,0.9876388907432556,False,controller,,,,,,False,,,,,,19.0,120.0,0.7919999957084656,0.8199999928474426,92373.0,40.38954424858093
cora,7,8,attention,0.1,0.5,0.01,0.18444884777069093,0.976768970489502,False,controller,,,,,,False,,,,,,37.0,138.0,0.7739999890327454,0.7710000276565552,92373.0,66.30605363845825
cora,8,8,attention,0.1,0.5,0.01,0.1267099952697754,0.9762120842933655,False,controller,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8109999895095825,92373.0,67.12337875366211
cora,9,8,attention,0.1,0.5,0.01,0.19914339900016784,0.9775434136390686,False,controller,,,,,,False,,,,,,40.0,141.0,0.8100000023841858,0.828000009059906,92373.0,69.72153878211975
