dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.9,0.2,0.6392061257362365,0.9766873121261597,False,controller,,,,,,False,,,,,,36.0,137.0,0.8119999766349792,0.8149999976158142,92373.0,49.540985345840454
cora,1,8,attention,0.1,0.9,0.2,0.0,0.8444085121154785,False,controller,,,,,,False,,,,,,197.0,200.0,0.7879999876022339,0.8059999942779541,92373.0,78.20891809463501
cora,2,8,attention,0.1,0.9,0.2,0.8230091071128844,0.9732646942138672,False,controller,,,,,,False,,,,,,47.0,148.0,0.8140000104904175,0.8209999799728394,92373.0,76.26691460609436
cora,3,8,attention,0.1,0.9,0.2,0.8242410326004025,0.8278566002845764,False,controller,,,,,,False,,,,,,131.0,200.0,0.8059999942779541,0.8009999990463257,92373.0,77.68117690086365
cora,4,8,attention,0.1,0.9,0.2,0.4288987684249877,0.9801761507987976,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8119999766349792,92373.0,45.087106704711914
cora,5,8,attention,0.1,0.9,0.2,0.3900944852828978,0.9811581373214722,False,controller,,,,,,False,,,,,,21.0,122.0,0.8019999861717224,0.8169999718666077,92373.0,48.905232191085815
cora,6,8,attention,0.1,0.9,0.2,0.3675233244895934,0.9870420098304749,False,controller,,,,,,False,,,,,,19.0,120.0,0.7919999957084656,0.8199999928474426,92373.0,66.42226195335388
cora,7,8,attention,0.1,0.9,0.2,0.6559039759635923,0.9721306562423706,False,controller,,,,,,False,,,,,,38.0,139.0,0.7739999890327454,0.7749999761581421,92373.0,64.16280841827393
cora,8,8,attention,0.1,0.9,0.2,0.4522386741638182,0.9745468497276306,False,controller,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8109999895095825,92373.0,44.85835576057434
cora,9,8,attention,0.1,0.9,0.2,0.7366128253936765,0.9715834259986877,False,controller,,,,,,False,,,,,,43.0,144.0,0.8119999766349792,0.828000009059906,92373.0,43.25690317153931
