dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,6,8,attention,20.0,0.7,0.05,20.0,0.33037349581718445,False,fixed,,,,,,False,,,,,,78.0,179.0,0.7900000214576721,0.7910000085830688,92373.0,33.85783886909485
cora,6,8,attention,0.1,0.7,0.05,0.1,0.9869564175605774,False,fixed,,,,,,False,,,,,,20.0,121.0,0.7940000295639038,0.8230000138282776,92373.0,22.674686431884766
cora,7,8,attention,20.0,0.7,0.05,20.0,0.8474631309509277,False,fixed,,,,,,False,,,,,,13.0,114.0,0.7879999876022339,0.7950000166893005,92373.0,21.662848711013794
cora,7,8,attention,0.1,0.7,0.05,0.1,0.9766875505447388,False,fixed,,,,,,False,,,,,,37.0,138.0,0.7739999890327454,0.7730000019073486,92373.0,26.05114436149597
cora,8,8,attention,20.0,0.7,0.05,20.0,0.7032490372657776,False,fixed,,,,,,False,,,,,,21.0,122.0,0.7900000214576721,0.7850000262260437,92373.0,23.33229684829712
cora,8,8,attention,0.1,0.7,0.05,0.1,0.9757658839225769,False,fixed,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8100000023841858,92373.0,23.442230701446533
cora,9,8,attention,20.0,0.7,0.05,20.0,0.3066961467266083,False,fixed,,,,,,False,,,,,,99.0,200.0,0.8199999928474426,0.8180000185966492,92373.0,36.179837226867676
cora,9,8,attention,0.1,0.7,0.05,0.1,0.976963460445404,False,fixed,,,,,,False,,,,,,75.0,176.0,0.8100000023841858,0.8180000185966492,92373.0,32.330472230911255
cora,0,8,attention,50.0,0.7,0.05,50.0,0.7292562127113342,False,fixed,,,,,,False,,,,,,16.0,117.0,0.7839999794960022,0.7950000166893005,92373.0,22.01654601097107
cora,0,8,attention,0.5,0.7,0.05,0.5,0.9682577848434448,False,fixed,,,,,,False,,,,,,54.0,155.0,0.8119999766349792,0.8159999847412109,92373.0,29.36591100692749
cora,1,8,attention,50.0,0.7,0.05,50.0,0.2622334063053131,False,fixed,,,,,,False,,,,,,127.0,200.0,0.7799999713897705,0.7639999985694885,92373.0,37.4403350353241
cora,1,8,attention,0.5,0.7,0.05,0.5,0.8927376866340637,False,fixed,,,,,,False,,,,,,180.0,200.0,0.7879999876022339,0.8009999990463257,92373.0,37.606078147888184
cora,2,8,attention,50.0,0.7,0.05,50.0,0.2773050367832184,False,fixed,,,,,,False,,,,,,97.0,198.0,0.7860000133514404,0.8059999942779541,92373.0,36.23911714553833
cora,2,8,attention,0.5,0.7,0.05,0.5,0.9719001054763794,False,fixed,,,,,,False,,,,,,47.0,148.0,0.8159999847412109,0.8230000138282776,92373.0,27.734389543533325
