dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.9,0.01,0.04764901554584501,0.9811373949050903,False,controller,,,,,,False,,,,,,55.0,156.0,0.8140000104904175,0.8180000185966492,92373.0,33.100109577178955
cora,1,8,attention,0.1,0.9,0.01,0.13158162236213677,0.9678671956062317,False,controller,,,,,,False,,,,,,179.0,200.0,0.7860000133514404,0.796999990940094,92373.0,52.466131925582886
cora,2,8,attention,0.1,0.9,0.01,0.042044727683067315,0.9814949035644531,False,controller,,,,,,False,,,,,,47.0,148.0,0.8140000104904175,0.8209999799728394,92373.0,39.86460781097412
cora,3,8,attention,0.1,0.9,0.01,0.09964855635166167,0.9707707166671753,False,controller,,,,,,False,,,,,,133.0,200.0,0.7979999780654907,0.8029999732971191,92373.0,63.9240357875824
cora,4,8,attention,0.1,0.9,0.01,0.02152734184265136,0.9816305041313171,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8130000233650208,92373.0,55.002578020095825
cora,5,8,attention,0.1,0.9,0.01,0.039399575710296626,0.9767969250679016,False,controller,,,,,,False,,,,,,46.0,147.0,0.8040000200271606,0.8149999976158142,92373.0,54.22578692436218
cora,6,8,attention,0.1,0.9,0.01,0.01929350352287292,0.987235426902771,False,controller,,,,,,False,,,,,,20.0,121.0,0.7940000295639038,0.8209999799728394,92373.0,50.63375997543335
cora,7,8,attention,0.1,0.9,0.01,0.03566765975952148,0.9776014089584351,False,controller,,,,,,False,,,,,,41.0,142.0,0.7699999809265137,0.7829999923706055,92373.0,75.395090341568
cora,8,8,attention,0.1,0.9,0.01,0.022739516854286185,0.976715624332428,False,controller,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8109999895095825,92373.0,68.15147042274475
cora,9,8,attention,0.1,0.9,0.01,0.0344762772321701,0.9788742065429688,False,controller,,,,,,False,,,,,,39.0,140.0,0.8080000281333923,0.8339999914169312,92373.0,64.64834594726562
