dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.7,0.01,0.15947940516471867,0.9800767302513123,False,controller,,,,,,False,,,,,,55.0,156.0,0.8119999766349792,0.8159999847412109,92373.0,61.08663296699524
cora,1,8,attention,0.1,0.7,0.01,0.48681762182712557,0.9437803030014038,False,controller,,,,,,False,,,,,,182.0,200.0,0.7860000133514404,0.8019999861717224,92373.0,73.88246202468872
cora,2,8,attention,0.1,0.7,0.01,0.13795873248577123,0.9807358384132385,False,controller,,,,,,False,,,,,,47.0,148.0,0.8159999847412109,0.8230000138282776,92373.0,79.02647304534912
cora,3,8,attention,0.1,0.7,0.01,0.37320535802841204,0.9560932517051697,False,controller,,,,,,False,,,,,,137.0,200.0,0.7960000038146973,0.8050000071525574,92373.0,78.48400330543518
cora,4,8,attention,0.1,0.7,0.01,0.06951647472381593,0.9814354777336121,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8119999766349792,92373.0,43.5504629611969
cora,5,8,attention,0.1,0.7,0.01,0.06356354570388795,0.9822207689285278,False,controller,,,,,,False,,,,,,21.0,122.0,0.8019999861717224,0.8169999718666077,92373.0,42.42043876647949
cora,6,8,attention,0.1,0.7,0.01,0.061288546204566974,0.9871558547019958,False,controller,,,,,,False,,,,,,20.0,121.0,0.7940000295639038,0.8209999799728394,92373.0,60.681995153427124
cora,7,8,attention,0.1,0.7,0.01,0.10850362324714663,0.9772968292236328,False,controller,,,,,,False,,,,,,37.0,138.0,0.7720000147819519,0.7730000019073486,92373.0,71.02600121498108
cora,8,8,attention,0.1,0.7,0.01,0.07472538697719575,0.9764651656150818,False,controller,,,,,,False,,,,,,25.0,126.0,0.8100000023841858,0.8109999895095825,92373.0,46.87092924118042
cora,9,8,attention,0.1,0.7,0.01,0.21421835947036752,0.9765833616256714,False,controller,,,,,,False,,,,,,75.0,176.0,0.8119999766349792,0.8180000185966492,92373.0,53.51008677482605
