dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.5,0.2,3.0,0.9409290552139282,False,controller,,,,,,False,,,,,,34.0,135.0,0.8140000104904175,0.8059999942779541,92373.0,48.41881489753723
cora,1,8,attention,0.1,0.5,0.2,3.0,0.537227988243103,False,controller,,,,,,False,,,,,,120.0,200.0,0.7940000295639038,0.7960000038146973,92373.0,79.86539721488953
cora,2,8,attention,0.1,0.5,0.2,3.0,0.9036461710929871,False,controller,,,,,,False,,,,,,46.0,147.0,0.8059999942779541,0.8169999718666077,92373.0,78.11293387413025
cora,3,8,attention,0.1,0.5,0.2,3.0,0.6224387288093567,False,controller,,,,,,False,,,,,,88.0,189.0,0.7900000214576721,0.7940000295639038,92373.0,72.53439974784851
cora,4,8,attention,0.1,0.5,0.2,2.340690660476685,0.972181499004364,False,controller,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8119999766349792,92373.0,43.3784863948822
cora,5,8,attention,0.1,0.5,0.2,3.0,0.9096686244010925,False,controller,,,,,,False,,,,,,43.0,144.0,0.8040000200271606,0.8109999895095825,92373.0,57.658958435058594
cora,6,8,attention,0.1,0.5,0.2,2.5398397922515867,0.974176824092865,False,controller,,,,,,False,,,,,,25.0,126.0,0.7940000295639038,0.8209999799728394,92373.0,69.42142391204834
cora,7,8,attention,0.1,0.5,0.2,3.0,0.9333666563034058,False,controller,,,,,,False,,,,,,35.0,136.0,0.7739999890327454,0.7739999890327454,92373.0,56.465510845184326
cora,8,8,attention,0.1,0.5,0.2,1.9536335825920106,0.9763054847717285,False,controller,,,,,,False,,,,,,19.0,120.0,0.8080000281333923,0.8019999861717224,92373.0,41.33395338058472
cora,9,8,attention,0.1,0.5,0.2,3.0,0.7589014172554016,False,controller,,,,,,False,,,,,,68.0,169.0,0.8159999847412109,0.8199999928474426,92373.0,49.30616903305054
